AAR,BYDEL,ALDERSKAT,FORSIKRET,ARBLED,HFUDD,PERSONER
2012,3,3,3,4,4,8
2012,3,3,3,4,5,3
2012,3,3,3,4,6,11
2012,3,3,3,5,1,89
2012,3,3,3,5,2,27
2012,3,3,3,5,3,6
2012,3,3,3,5,4,5
2012,3,3,3,5,5,5
2012,3,3,3,5,6,8
2012,4,1,1,1,1,54
2012,4,1,1,1,2,61
2012,4,1,1,1,3,19
2012,4,1,1,1,4,16
2012,4,1,1,1,5,5
2012,4,1,1,1,6,3
2012,4,1,1,2,1,18
2012,4,1,1,2,2,31
2012,4,1,1,2,3,5
2012,4,1,1,2,4,11
2012,4,1,1,2,5,3
2012,4,1,1,3,1,2
2012,4,1,1,3,2,11
2012,4,1,1,3,3,2
2012,4,1,1,3,4,3
2012,4,1,1,4,1,2
2012,4,1,1,4,2,6
2012,4,1,1,4,3,1
2012,4,1,1,4,4,1
2012,4,1,1,5,1,2
2012,4,1,1,5,2,1
2012,4,1,3,1,1,253
2012,4,1,3,1,2,8
2012,4,1,3,1,3,1
2012,4,1,3,2,1,73
2012,4,1,3,2,2,3
2012,4,1,3,2,5,1
2012,4,1,3,3,1,13
2012,4,1,3,3,2,1
2012,4,1,3,4,1,2
2012,4,2,1,1,1,79
2012,4,2,1,1,2,81
2012,4,2,1,1,3,29
2012,4,2,1,1,4,173
2012,4,2,1,1,5,74
2012,4,2,1,1,6,176
2012,4,2,1,2,1,43
2012,4,2,1,2,2,54
2012,4,2,1,2,3,14
2012,4,2,1,2,4,70
2012,4,2,1,2,5,33
2012,4,2,1,2,6,139
2012,4,2,1,3,1,26
2012,4,2,1,3,2,27
2012,4,2,1,3,3,9
2012,4,2,1,3,4,38
2012,4,2,1,3,5,9
2012,4,2,1,3,6,44
2012,4,2,1,4,1,9
2012,4,2,1,4,2,13
2012,4,2,1,4,3,2
2012,4,2,1,4,4,7
2012,4,2,1,4,5,2
2012,4,2,1,4,6,15
2012,4,2,1,5,1,3
2012,4,2,1,5,2,1
2012,4,2,1,5,3,1
2012,4,2,1,5,4,1
2012,4,2,1,5,6,6
2012,4,2,3,1,1,100
2012,4,2,3,1,2,13
2012,4,2,3,1,3,1
2012,4,2,3,1,4,2
2012,4,2,3,1,5,5
2012,4,2,3,2,1,50
2012,4,2,3,2,2,7
2012,4,2,3,2,4,1
2012,4,2,3,2,5,1
2012,4,2,3,3,1,20
2012,4,2,3,3,2,3
2012,4,2,3,3,3,3
2012,4,2,3,3,5,1
2012,4,2,3,4,1,10
2012,4,2,3,4,2,2
2012,4,2,3,4,3,1
2012,4,2,3,5,1,4
2012,4,2,3,5,2,2
2012,4,3,1,1,1,325
2012,4,3,1,1,2,298
2012,4,3,1,1,3,53
2012,4,3,1,1,4,241
2012,4,3,1,1,5,75
2012,4,3,1,1,6,378
2012,4,3,1,2,1,293
2012,4,3,1,2,2,186
2012,4,3,1,2,3,39
2012,4,3,1,2,4,159
2012,4,3,1,2,5,44
2012,4,3,1,2,6,323
2012,4,3,1,3,1,219
2012,4,3,1,3,2,149
2012,4,3,1,3,3,36
2012,4,3,1,3,4,132
2012,4,3,1,3,5,34
2012,4,3,1,3,6,208
2012,4,3,1,4,1,185
2012,4,3,1,4,2,100
2012,4,3,1,4,3,35
2012,4,3,1,4,4,83
2012,4,3,1,4,5,23
2012,4,3,1,4,6,164
2012,4,3,1,5,1,66
2012,4,3,1,5,2,49
2012,4,3,1,5,3,14
2012,4,3,1,5,4,34
2012,4,3,1,5,5,7
2012,4,3,1,5,6,65
2012,4,3,3,1,1,99
2012,4,3,3,1,2,35
2012,4,3,3,1,3,8
2012,4,3,3,1,4,8
2012,4,3,3,1,5,6
2012,4,3,3,1,6,3
2012,4,3,3,2,1,91
2012,4,3,3,2,2,33
2012,4,3,3,2,3,7
2012,4,3,3,2,4,3
2012,4,3,3,2,5,2
2012,4,3,3,2,6,6
2012,4,3,3,3,1,108
2012,4,3,3,3,2,31
2012,4,3,3,3,3,5
2012,4,3,3,3,4,7
2012,4,3,3,3,5,5
2012,4,3,3,3,6,5
2012,4,3,3,4,1,86
2012,4,3,3,4,2,29
2012,4,3,3,4,3,3
2012,4,3,3,4,4,8
2012,4,3,3,4,5,6
2012,4,3,3,4,6,4
2012,4,3,3,5,1,55
2012,4,3,3,5,2,25
2012,4,3,3,5,4,5
2012,4,3,3,5,5,5
2012,4,3,3,5,6,10
2012,5,1,1,1,1,71
2012,5,1,1,1,2,83
2012,5,1,1,1,3,9
2012,5,1,1,1,4,17
2012,5,1,1,1,5,5
2012,5,1,1,2,1,18
2012,5,1,1,2,2,47
2012,5,1,1,2,3,11
2012,5,1,1,2,4,4
2012,5,1,1,2,5,3
2012,5,1,1,3,1,2
2012,5,1,1,3,2,17
2012,5,1,1,3,3,4
2012,5,1,1,3,4,7
2012,5,1,1,3,5,1
2012,5,1,1,4,1,2
2012,5,1,1,4,2,9
2012,5,1,1,4,5,1
2012,5,1,1,5,1,1
2012,5,1,1,5,2,3
2012,5,1,3,1,1,275
2012,5,1,3,1,2,7
2012,5,1,3,2,1,74
2012,5,1,3,2,2,1
2012,5,1,3,3,1,14
2012,5,1,3,3,2,1
2012,5,1,3,4,1,3
2012,5,1,3,5,1,1
2012,5,2,1,1,1,73
2012,5,2,1,1,2,97
2012,5,2,1,1,3,21
2012,5,2,1,1,4,74
2012,5,2,1,1,5,38
2012,5,2,1,1,6,99
2012,5,2,1,2,1,40
2012,5,2,1,2,2,50
2012,5,2,1,2,3,10
2012,5,2,1,2,4,45
2012,5,2,1,2,5,9
2012,5,2,1,2,6,63
2012,5,2,1,3,1,24
2012,5,2,1,3,2,26
2012,5,2,1,3,3,3
2012,5,2,1,3,4,17
2012,5,2,1,3,5,2
2012,5,2,1,3,6,25
2012,5,2,1,4,1,9
2012,5,2,1,4,2,13
2012,5,2,1,4,3,2
2012,5,2,1,4,4,7
2012,5,2,1,4,5,1
2012,5,2,1,4,6,8
2012,5,2,1,5,1,3
2012,5,2,1,5,2,3
2012,5,2,1,5,4,1
2012,5,2,1,5,6,3
2012,5,2,3,1,1,79
2012,5,2,3,1,2,8
2012,5,2,3,1,3,1
2012,5,2,3,1,4,1
2012,5,2,3,1,5,1
2012,5,2,3,1,6,1
2012,5,2,3,2,1,35
2012,5,2,3,2,2,6
2012,5,2,3,2,3,1
2012,5,2,3,2,4,1
2012,5,2,3,3,1,18
2012,5,2,3,3,2,4
2012,5,2,3,3,3,1
2012,5,2,3,3,5,2
2012,5,2,3,4,1,8
2012,5,2,3,4,2,3
2012,5,2,3,4,3,1
2012,5,2,3,5,1,3
2012,5,2,3,5,2,2
2012,5,2,3,5,3,1
2012,5,3,1,1,1,239
2012,5,3,1,1,2,260
2012,5,3,1,1,3,62
2012,5,3,1,1,4,135
2012,5,3,1,1,5,23
2012,5,3,1,1,6,181
2012,5,3,1,2,1,198
2012,5,3,1,2,2,199
2012,5,3,1,2,3,31
2012,5,3,1,2,4,88
2012,5,3,1,2,5,16
2012,5,3,1,2,6,128
2012,5,3,1,3,1,169
2012,5,3,1,3,2,137
2012,5,3,1,3,3,31
2012,5,3,1,3,4,55
2012,5,3,1,3,5,20
2012,5,3,1,3,6,96
2012,5,3,1,4,1,132
2012,5,3,1,4,2,97
2012,5,3,1,4,3,15
2012,5,3,1,4,4,36
2012,5,3,1,4,5,8
2012,5,3,1,4,6,78
2012,5,3,1,5,1,50
2012,5,3,1,5,2,49
2012,5,3,1,5,3,4
2012,5,3,1,5,4,19
2012,5,3,1,5,5,5
2012,5,3,1,5,6,22
2012,5,3,3,1,1,89
2012,5,3,3,1,2,33
2012,5,3,3,1,3,2
2012,5,3,3,1,4,6
2012,5,3,3,1,5,3
2012,5,3,3,1,6,3
2012,5,3,3,2,1,88
2012,5,3,3,2,2,34
2012,5,3,3,2,3,3
2012,5,3,3,2,4,3
2012,5,3,3,2,5,1
2012,5,3,3,2,6,5
2012,5,3,3,3,1,63
2012,5,3,3,3,2,34
2012,5,3,3,3,3,5
2012,5,3,3,3,4,6
2012,5,3,3,3,5,1
2012,5,3,3,3,6,3
2012,5,3,3,4,1,56
2012,5,3,3,4,2,33
2012,5,3,3,4,3,5
2012,5,3,3,4,5,2
2012,5,3,3,4,6,3
2012,5,3,3,5,1,43
2012,5,3,3,5,2,20
2012,5,3,3,5,3,5
2012,5,3,3,5,4,2
2012,5,3,3,5,5,5
2012,5,3,3,5,6,1
2012,6,1,1,1,1,45
2012,6,1,1,1,2,47
2012,6,1,1,1,3,10
2012,6,1,1,1,4,11
2012,6,1,1,1,5,2
2012,6,1,1,1,6,1
2012,6,1,1,2,1,15
2012,6,1,1,2,2,26
